cat name,event name,event start,event finish,state,description,location,type,year,original loss value,normalised loss value (2022),claims count,NSW,VIC,QLD,ACT,TAS,SA,NT,WA
Undeclared,Cyclone Monica,2006-04-16,2006-04-26,QLD - NT,"The final and most intense storm of the season, Monica originated from an area of low pressure off the coast of Papua New Guinea on 16 April.Traveling towards the west, the storm intensified into a severe tropical cyclone before making landfall in Far North Queensland, near the Lockhart River, on 19 April. After moving over land, convection associated with the storm quickly became disorganized.",FNQ,cyclone,2006,5000000.0,12400000.0,30674.0,0,0,1,0,0,0,1,0
Undeclared,Cyclone Wati,2006-03-19,2006-03-24,QLD,Coral Sea event with no Australian landfall,FNQ,cyclone,2006,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT063,Cyclone Larry,2006-03-17,2006-03-21,QLD,"Severe tropical Cyclone Larry crossed the tropical north Queensland coast near Innisfail during the morning of 20 March 2006. Between Babinda and Tully, damage to infrastructure and crops was extensive, with the total estimated loss upwards of half a billion dollars. In north-west Queensland, heavy rainfall from the cyclone caused several townships to be isolated for a number of days and, as a result, food drops were required and emergency supplies had to be delivered by helicopter. The banana industry in the region was almost wiped out, losing about 200,000 tonnes of fruit, worth about $300 million, representing approximately 80 percent of Australia's banana crop. The storm also destroyed at least $15 million worth of avocados. The Insurance Council of Australia estimated the 2006 damage at $540 million, with the 2011 estimated normalised cost of $609 million.",FNQ,cyclone,2006,540000000.0,914800000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Kate,2006-02-22,2006-02-24,QLD,"Cyclone Kate formed near the tip of Cape York Peninsular on February 22nd. Kate bought with her strong winds of 125 km/h, and rough seas. Although cyclone kate did not make Australian landfall, large swells caused six surfers a range of injuries as they waded into turbulant waters.",FNQ,cyclone,2006,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Jim,2006-01-28,2006-01-30,QLD,"On January 28 a low preassure developed near the coast of Queensland, formed into the category 3 cyclone Jim causing heavy rainfall over the coastal regions of Queensland. Winds reached 120 km/h which intensified to 150 km/h as it bruhed New Caledonia. Did not make Australian landfall.",FNQ,cyclone,2006,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT058,Hail,2005-10-11,2005-10-12,QLD,"On 12 October 2005, a severe thunderstorm caused a hailstorm in the Gold and Sunshine Coasts. In some regions of Queensland hailstones of up to 7 cm in diameter were reported. The major suburbs and towns affected include Helensvale, Oxenford, Coomera, Mt Nathan, Gaven, Pacific Pines, Arundel, Coombabah, Toowoomba, Gatton, Laidley and Esk._x000D_
 State Emergency Service crews responded to more than 724 calls for help as the hailstorm damage spread to houses, buildings and cars. Approximately 2000 motor vehicles and 500 homes were damaged.",SEQ,storm,2005,61000000.0,149500000.0,30674.0,0,0,1,0,0,0,0,0
CAT056,"Flood, Storm",2005-06-29,2005-06-30,QLD,"In June, floods and storms associated with an upper trough system and an east coast low occurred across south-east Queensland and northern New South Wales, causing damage to cars and homes. Rainfall totals were generally four to five times above the average levels. The Gold Coast recorded a total of 368 mm in a 24 hour period. The highest total rainfall in the period was 595 mm recorded at Loder Creek Dam._x000D_
 Flood warnings were issued for major rivers from mid-north New South Wales to southern Queensland. In the northern New South Wales town of Lismore, the Wilson River peaked and as a precaution, approximately three thousand residents were asked to evacuate their homes. Two people died in south-east Queensland.",SEQ,flooding,2005,53900000.0,156100000.0,30674.0,0,0,1,0,0,0,0,0
CAT055,Hail,2005-05-19,2005-05-19,QLD,"A hailstorm brought about by unusual weather conditions created widespread flooding and significant damage to the city of Brisbane. The cause of the extreme weather was a vast difference between the ground temperature and a below freezing stratosphere temperature, combined with damp air situated on the coast._x000D_
 Hail was reported as being 15 cm deep across roads in some areas. There was significant damage to buildings and cars. Over 200 lightning strikes were recorded and as a result Brisbane Airport was required to close for an hour until the storm subsided. Approximately 6500 properties lost power and the SES responded to 160 calls, caused by flooding waters, fallen power lines and trees.",SEQ,storm,2005,17600000.0,51200000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone INGRID,2005-03-04,2005-03-16,QLD NT WA,"Originally a low pressure system north of the Gulf of Carpentaria, Ingrid moved eastward and developed into a Tropical Cyclone in the Coral Sea on 6 March 2005. A strong pressure gradient rapidly developed within the system as it headed west resulting in a category rating of 5 by 8 March. The eye, with very destructive wind gusts up to 220 km/h within a 20 km radius, reached the far northern coast of the Australian state of Queensland between 6 am and 9 am on 10 March 2005 AEST, and hit the Cape York Peninsula. However, it was downgraded to a Category 2 storm as it crossed the peninsula north of the towns of Coen and Lockhart River. After passing the town of Weipa, Ingrid gained strength once again as it moved out across the Gulf of Carpentaria towards the Northern Territory. It struck the town of Nhulunbuy as a Category 5 storm. It crossed the Cobourg Peninsula in the early hours of 13 March, heading west. Ingrid struck the Tiwi Islands as a Category 4 storm, and moved west into the Timor Sea, being downgraded to a category 3 due to the passage over land. Winds were in excess of 200 km/h. On 15 March Ingrid approached the north coast of the Kimberley region of Western Australia as a Category 4 storm, and made landfall near Kalumburu shortly afterwards. It quickly weakened as it moved inland, and soon completely dissipated.The isolated communities along the coast of Northern Territory suffered considerable damage, and there was localised flooding in the coastal areas due to high tides. On Croker Island, 30 homes sustained damage, some of which lost their roofs, numerous trees were downed, power was cut to most residences, cars were completely destroyed and numerous roads were damaged.[9] Nearly all trees on the island were leveled by 290 km/h (180 mph) wind gusts. Schools were reportedly destroyed in addition to several homes. Much of the infrastructure of the Tiwi Islands was affected, some suffering consequential damage due to trees falling on buildings and vehicles. Damages on the islands amounted to A$5 million ($3.9 million USD).  Throughout the Northern Territory, an additional A$10 million ($6.4 million USD) in damages resulted from Ingrid. Darwin experienced high winds and heavy rain, but was only affected by the southern edge of the cyclone. Western Australia :The Great Northern Highway was closed between Kununurra and Halls Creek for a period of 36 hours due to flooding. A resort area, known as ""Faraway Bay"", northeast of Kalumburu was completely destroyed by the storm. Numerous boats were found 100 m (330 ft) inland after being washed away by the storm surge. Numerous homes lost power and water supply, some sustained major roof damage and severe flooding isolated a few communities. Large areas of forested area were completely destroyed by Ingrid.",FNQ,cyclone,2005,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,1,1
Undeclared,Cyclone HARVEY,2005-02-05,2005-02-07,QLD NT,"The storm made landfall near the Queensland/Northern Territory border on 7 February as a Category 3 (Australian scale) system. Minor structural damage was reported along the Robinson River and Mornington Island was battered by high winds and heavy rain, however no casualties were reported.",FNQ,cyclone,2005,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,1,0
Undeclared,Cyclone KERRY,2005-01-08,2005-01-18,QLD,"Coral Sea cyclone event, no Australian landfall",FNQ,cyclone,2005,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT043,SEQ Severe Storms,2004-09-20,2004-09-20,QLD,"Severe storms impacting Brisbane and the Gold Coast, lite property damage",SEQ,storm,2004,3500000.0,10200000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone GRACE,2004-03-20,2004-03-23,QLD,"Grace is mostly remembered for its effects prior to reaching cyclone status rather than during its life as an officially named tropical cyclone. A multi-centred tropical low formed adjacent to the north Queensland tropical coast near Cooktown as early as 20 March within a very active monsoon trough that stretched across the northern Coral Sea and Cape York Peninsula toward New Caledonia, and initially had a subtropical appearance. The surface wind field of the system meandered to the east and then to the east-northeast over the following days, producing a very broad area of gales to its south through the Tasman Sea. The highest three-day rainfall amounts for Grace was 759 mm from Topaz, which received 372 mm in 24 hours. The strongest winds from the mainland were from Low Isle at 18/1311 UTC when gusts reached 50 knots (93 km/h). Cape Moreton at 21 March 2004 2230 UTC received gusts to 54 knots (100 km/h). Widespread flooding and damage to roads and property along the far north Queensland coast, mainly between Cooktown and Cairns. Winds and waves brought tide levels above the highest tides of the year and this was particularly evident at Cooktown. Floodwaters closed all major roads into Cairns. A large section of one lane of the Captain Cook Highway north of Cairns collapsed after a landslide consisting of nearly 20 metres of rock and boulders the size of cars destroyed the ocean-side road. The scenic coastal highway and link between Cairns and Port Douglas was closed for several days. Residents were evacuated from the Whitfield range area due to landslides. There were no casualties associated with Tropical Cyclone Grace. In New Caledonia, further strong winds, heavy rains and flooding were experienced. A massive oil slick threatened a popular tourist beach in New Caledonia. Officials in the French Pacific territory put up barriers around the island of Amedee, which was threatened by a toxic oil slick, estimated to cover an area of 20 square kilometres. They said the oil had come from a boat wrecked several decades ago on a coral reef off South Province.",FNQ,cyclone,2004,25000000.0,91000000.0,30674.0,0,0,1,0,0,0,0,0
CAT042,Severe Storms,2004-03-03,2004-03-18,QLD WA NT,"In March 2004, tropical cyclones Grace, Monty, Nicky, Fay, Oscar and Evan affected several regions of Australia. Wide spread flooding occurred in Queensland, Western Australia and the Northern Territory. Severe thunderstorms with high rainfall totals, flash flooding and hail were reported in most states over the course of the month. Damage to property, infrastructure and power supplies occurred. A tropical low developed on 2 March and moved south-west bringing strong to gale force winds, large seas and heavy rain to south-east Queensland and northern New South Wales. Rainfall totals in several east coast locations was more than 200 mm in 24 hours. There were three fatalities associated with this event: one person drowned in Queensland and two people drowned in New South Wales. In Western Australia, Cyclone Monty weakened as it neared the northern coast but brought with it widespread rainfall over the Pilbara causing significant flooding. In the Northern Territory, heavy rainfall associated with ex-tropical cyclone Evan affected the Arnhem, Darwin-Daly, Katherine and northern Victoria river districts, resulting in flooding in many catchments throughout the Top End. Residents were evacuated from flooded homes and businesses on the outskirts of Katherine on 4 March.",SEQ,storm,2004,58500000.0,202500000.0,30674.0,0,0,1,0,0,0,1,1
Undeclared,Cyclone FRITZ,2004-02-10,2004-02-15,QLD,"A tropical low developed on 10 February in the northern Coral Sea, within an active monsoon trough. The system developed rapidly and becoming Tropical Cyclone Fritz when it was northeast of Cooktown. Fritz moved rapidly to the west, and made landfall on the northern Queensland coast with winds of 75 km/h. The storm lost its tropical character as it crossed the Cape York Peninsula and entered the Gulf of Carpentaria on 11 February. The low reintensified over the favourable conditions in the Gulf, and reached its peak with 95 km/h winds near Mornington Island. Radar imagery showed evidence of an eye as the storm passed over the island on 12 February. It then crossed over the coast onto mainland Australian and degenerated overland. The remnant travelled over Northern Territory and Western Australia, before merging with a cold front to the south of Perth. Cyclone Fritz brought up to 309 mm of rain to the Cairns area. This led to a number of landslides, one of which caused severe property damage in Yorkeys Knob. There was flash flooding near Innisfail when 74 mm of rain fell in one hour. Fritz uprooted a number of trees on Mornington Island, but there was no other damage there. There were no casualties from the storm.",FNQ,cyclone,2004,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT041,SEQ Severe Storms,2004-01-24,2004-01-26,QLD,"From 24 to 26 January 2004, a ridge of high pressure extended south of Tasmania over to New Zealand. This placed Brisbane in a hot humid north to north westerly air stream for the week. These conditions produced a succession of severe thunderstorms causing widespread damage in south-east Queensland, particularly in Brisbane, Ipswich and the Gold and Sunshine Coasts. Towns affected included Currumbin, Coolangatta, Fortitude Valley, Woolloongabba, Oxley, Coorparoo, Warrick, Ipswich, Bundamba, Bellbowrie, Calliope, Jimboomba, Beaudesert, Gatton, Nanango, Archerfield, Toowoomba, Kawana Waters, Caloundra, Morerton Bay, Maryborough and Rockhampton._x000D_
 The Amberley Royal Australian Air Force base recorded a wind gust of 111 km per hour and a sustained wind of 100 km per hour for a 10 minute period. Severe wind combined with large hailstorms caused widespread damage and houses were affected by fallen trees and debris. Furthermore, there was damage to infrastructure and 121,000 houses in the Brisbane area lost power.",SEQ,storm,2004,28500000.0,98900000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone ERICA,2003-03-01,2003-03-12,QLD,Coral Sea category 3 cyclone. No Australian landfall.,FNQ,cyclone,2003,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone BENI,2003-02-01,2003-02-05,QLD,"Cyclone Beni emergerd from the South Pacific region, making tracks across the Australian region reaching the Coral Sea and near Mackay bringing with him strong vertical winds. Heavy rainfall accompanied Beni and into Gladstone causing one person to drown and damage to powerlines which lleft communities with power outages.",FNQ,cyclone,2003,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Upia,2002-05-25,2002-05-29,QLD,Solomon Sea Category 1 Cyclone. No Australian Landfall,FNQ,cyclone,2002,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Des,2002-03-03,2002-03-07,QLD,Coral Sea Category 2 Cyclone. No Australian Landfall,FNQ,cyclone,2002,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Claudia,2002-02-11,2002-02-05,QLD,Coral Sea Category 3 Cyclone. No Australian Landfall,FNQ,cyclone,2002,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT015,"Flood, Storm",2001-03-09,2001-03-11,QLD,"During the period 9 - 11 March 2001, thunderstorm activity brought intense rainfall to the Queensland south-east Coast district._x000D_
 Subsequent heavy rain affected the Gold Coast and Logan City, with heavy rain falling over Brisbane City, producing areas of flash flooding, particularly across southern suburbs but also in the east and north. Intense rainfall was observed across the district for duration of approximately 6 hours._x000D_
 Gold Coast and Logan City: A person drowned during the early morning hours of 11 March, when the vehicle in which they were passenger was swept off a road near Logan. Many homes and businesses were damaged by flash flooding. Flooding at Beenleigh also led to four houses being inundated with sewage._x000D_
 Brisbane City: A person was confirmed drowned, after being swept away by flood waters on the evening of 9 March, when vehicle in which they were passenger was washed off a road at Lawnton (in Brisbane's north). The damage inventory included hundreds of cars, many shops and offices, and up to 600 homes._x000D_
 Stones Corner, a suburb in inner-eastern Brisbane, was one of the worst hit areas. Metre-deep flooding entered East's League's Club, forcing 50 patrons to be evacuated. About 30 cars were submerged in the club car park. Many houses throughout Brisbane's southern suburbs were also flooded. Over 100 homes were inundated in Wishart (southern suburb). Heavy rain downed powerlines at Annerley, Woolloongabba, Greenslopes and Holland Park. A block of flats at Greenslopes had the roof torn off. Cars that were stalled on flooded roads caused peak-hour traffic chaos. Many cars that had been left in flooded streets floated away. A car dealership in Salisbury reported damage to about 50 vehicles._x000D_
 The northern suburbs of McDowall, Windsor, Ferny Hills, Arana Hills and Everton Hills also recorded severe water damage. In the northern suburb of Aspley,six new cars were swept from the yard of a car dealership and into Cabbage Tree Creek and another 80 new vehicles were damaged. Flash flooding caused problems in Everton Hills near Kedron Brook._x000D_
 Sunshine Coast: A person was rescued from a vehicle that was washed into a waterway. Shops in the main street of Beerwah were flooded, trees came down on powerlines and cars were swept away. Numerous traffic accidents were reported. Flash flooding was also reported near Sunrise Beach, and at Noosaville, Nambour, Eumundi and Hunchy. Powerlines were brought down at Nambour. Two homes were evacuated when it was believed that the roofs could be blown off.",SEQ,storm,2001,37000000.0,189800000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Paula,2001-02-25,2001-03-04,QLD,A category 4 cyclone that remained offshore in the Coral Sea. No signifciant damage reported on Australian territory.,FNQ,cyclone,2001,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone Abigail,2001-02-24,2001-03-08,QLD,"A category 3 cyclone that crossed Cape york from the Coral Sea, inot the Gulf of Carpentaria. Minor damage and catchment flooding reported.",FNQ,cyclone,2001,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone VAUGHAN,2000-04-03,2000-04-07,QLD,A category 2 cyclone forming in the Coral Sea headed westward towards North Queensland. No significant damage.,FNQ,cyclone,2000,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT003,Cyclone Steve,2000-02-27,2000-03-11,QLD,"Cyclone Steve formed in the northern Coral Sea, near Willis Island, and developed into a cyclone at approximately 7 am on 27 February 2000. The cyclone intensified further during the day to reach Category 2 intensity by 1 pm, before crossing the east Queensland coast to the near north of Cairns at approximately 7 pm. Cyclone Steve caused major flooding between Cairns and Mareeba. A record flood level of 12.4 m was reached at Mareeba at 4.37 am on 28 February 2000, with 90 people requiring evacuation and the railway bridge washed away. Many buildings in Cairns suffered severe water damage including the Cairns Hospital. Wind gusts of up to 150 km per hour caused several buildings in Cairns and Kuranda to lose their roofs. Hundreds of trees were uprooted and powerlines were brought down throughout the district, disrupting supplies to more than 40,000 residents. The two highways to the Atherton Tablelands were closed by fallen trees and landslides. Crop damage by floods and winds was severe, notably the sugar cane industry. Cairns Emergency Services answered over 1200 calls during the course of Cyclone Steve, while the Disaster Coordination Centre took another 1800 calls. One person from the town of Cardwell was killed by the floods following the cyclone.",FNQ,cyclone,2000,11000000.0,56400000.0,30674.0,0,0,1,0,0,0,0,0
CAT002,"Flood, Storm",2000-01-20,2000-02-28,QLD,"In February 2000, Queensland’s far north experienced heavy rainfall during three distinct wet periods. The first of these affected coastal catchments from Mackay to Ingham from early to mid-February, Then from mid-February, heavy rainfall occurred in the far western catchments, followed by Cyclone Steven in late February, which caused flooding from Ingham to Cooktown.  Across the month of February, minor flooding occurred at Pioneer River, Burdekin River, Barron River, Paroo River and Gulf River. Moderate and/or major flooding occurred at Don River, Haughton River, Herbert River, Tully River, Bulloo River, lower Barron River, Thomson River, Barcoo River, Cooper Creek, Diamantina River and Georgina River/Eyre Creek.The city of Cairns was also affected. Emergency services opened a disaster co-ordination centre after a record 208 mm deluge. More than 3000 sandbags were distributed to Cairns residents and it was reported that around whilst 10,000 residents experienced blackouts. Almost a third of Queensland was declared a natural disaster area by the State Government in the wake of the extensive flooding throughout northern, central and western Queensland.  In relative terms one out of three individuals were directly affected by the floods. Wide spread floods caused damage to plantations, crops and infrastructure, which resulted in several large damage estimates.",FNQ,flooding,2000,82000000.0,477800000.0,30674.0,0,0,1,0,0,0,0,0
CAT991,"Flood, Storm",1999-08-12,1999-08-14,QLD,SE QLD,SEQ,storm,1999,2000000.0,12900000.0,30674.0,0,0,1,0,0,0,0,0
CAT992,Cyclone Rona,1999-02-09,1999-02-16,QLD,"Significant wind damage from Rona extended from Newell Beach to Cape Tribulation with the major damage occurring between Cape Kimberley and Cape Tribulation on the northern side of the coastal crossing location. Some trees in the Cape Tribulation area that survived an intense cyclone in 1934 were felled by Rona . As the system crossed the coast in a sparsely populated area of the north Queensland coast, structural damage to property was minimal. Heavy rainfall following the landfall of Rona resulted in flooding from Cairns to Townsville. Highest 24 hour rainfall totals to 2300 UTC on 12 February were 531 mm at Topaz, 474 mm at Greenhaven, and 420 mm at Kuranda. A 1 m storm surge was recorded at Port Douglas (occurring at low tide) while at the Mouth of the Mossman River (near Newell and south of the radius of maximum winds) a 1.4 m storm surge was measured. Peak significant wave heights recorded at Low Isles exceeded 3.5 m with a maximum wave height in excess of 6.3 m.",FNQ,cyclone,1999,4000000.0,27900000.0,30674.0,0,0,1,0,0,0,0,0
CAT982,Cyclone SID,1998-12-24,1998-12-29,QLD,"Tropical Cyclone Sid caused heavy rain and wide spread flooding to areas in the northern regions of Queensland, between Cairns and Townsville. Townsville recorded 549 mm of rain in a 24 hour period, and as a result 50 per cent of the town lost their power supply. Other major areas affected included Blue Water Creek, Black River, Rollingstone, Paluma, Ingham, Halifax and Charters Towers. The heavy deluge resulted in extensive damage throughout the affected regions. At Thuringowa, 48 houses were seriously flooded, 14 creek and riverside homes were lost, and 33 were left severely damaged. Elsewhere, infrastructure including roads, highways, bridges, railways and power lines were badly affected. Furthermore, the flash flood inundated multiple buildings and houses along with wide spread damage to both agricultural and horticultural industries. The flood waters ruined crops, with cane growers particularly impacted.  One death was recorded as a result of this event.",FNQ,cyclone,1998,71000000.0,463600000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone CATHY,1998-12-22,1998-12-28,NT & QLD,Kathy reached peak intensity around 1200 UTC 22 March when located approximately 100 km northeast of Vanderlin lsland Kathy crossed the mainland coast around 2130 UTC 22 March just north of Booroloola Township where there was moderate to sever damage. A 4.2 m storm surge was measured on the east coast of Vanderlin Island.,FNQ,cyclone,1998,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,1,0
CAT9811,Brisbane Storms,1998-12-16,1998-12-16,QLD,"On 16 December 1998, a severe storm crossed Brisbane suburbs causing extensive hail damage. The most affected suburbs were Clayfield, Windsor, Wilston, Albion, Northgate and Wavell Heights.",SEQ,storm,1998,76000000.0,476200000.0,30674.0,0,0,1,0,0,0,0,0
CAT9810,Brisbane Storms,1998-10-13,1998-10-13,QLD,"On 13 October severe thunderstorms occurred in the area of Warwick, in southeast Queensland. The impact of the storm included damage to homes, commercial buildings, uprooted trees, and significant crop damage. Later the same day storms occurred in the Brisbane area causing widespread damage to houses and, buildings as well as uprooting trees. Inner city rail services ceased operation for several hours. Brisbane Airport recorded significant wind gusts of up to 119 km per hour. Hail the size of golf balls were reported in the Brisbane and Gympie areas.",SEQ,storm,1998,23000000.0,145800000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone NATHAN,1998-03-20,1998-03-26,QLD,Nathan was a weak cyclone which spent six days in the Coral Sea at minimum cyclone intensity. Nathan did not cross the QLD coast.,FNQ,cyclone,1998,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone MAY,1998-02-25,1998-02-26,QLD,"May developed in the southern Gulf of Carpentaria and existed at minimal cyclone intensity for less than 24 hours before crossing the coast.The highest rainfall was recorded at Burketown with 1065 mm over the seven-day period commencing 26 February. Severe flooding to major flood level occurred in the lower reaches of the Nicholson, Albert, Gregory and Leichhardt and lower Flinders Rivers.",FNQ,cyclone,1998,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone KATRINA,1998-01-01,1998-01-24,QLD,"Katrina was an erratic and extremely long-lived cyclone which spent three weeks in the Coral Sea and South Pacific Ocean between the Queensland coast and Vanuatu.After its decay the remnants of K atrina moved westward over Cape York Peninsula, past the Northern Territory and into the Indian Ocean where it developed into tropical cyclone Victor during February. Victor was then re-named Cindy as it moved into La Reunion RSMC in the central Indian Ocean. Katrina developed in early January during an active phase of the intraseasonal oscillation after Sid had weakened to the west and Ron and Susan were developing to the east.? In the Solomon Islands, 200 homes were destroyed on southern Guadalcanal and 450 homes destroyed on the islands of Rennell and Bellona.",FNQ,cyclone,1998,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT972,Cyclone Justin,1997-03-06,1997-03-23,QLD,"Two lows merged in a very active monsoon trough in the Coral Sea and developed into Tropical Cyclone Justin on 7 March. Tropical Cyclone Justin sat in the Coral Sea for three days, causing high winds and huge swells and maximum intensity was recorded on 9 March. It was downgraded to a tropical low on 13 March. The cyclone then drifted north and re-intensified to tropical cyclone strength on 14 March, reaching peak intensity on 18 March before weakening and crossing the coast north-west of Cairns on 22 March. The combined effects of heavy rain, large seas and gale to storm force winds caused widespread damage in the region between Cairns and Townsville and the loss of two lives (one person by a landslide at Paluma near Townsville, and one person electrocuted by a fallen power line at Innisfail 70 km south south-east of Cairns) Earlier in Justin's life cycle 30 people were killed in Papua New Guinea and five people died when their yacht was destroyed. Justin was reportedly responsible for an estimated loss of $150 million to the agricultural industry alone.",FNQ,cyclone,1997,168000000.0,1019600000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone ITA,1997-02-23,1997-02-24,QLD,"Tropical cyclone Ita rapidly developed off the north Queensland coast in markedly divergent upper flow east of an upper low on 23 February. The system moved in a southerly then southwesterly direction towards the coast. However, northerly upper flow between an upper low over Queensland and an anticyclone in the Coral Sea increased. Development was inhibited and the lowest central pressure of 994 hPa occurred just prior to crossing the coast southeast of Townsville on 24 February, where it dissipated quickly. Little wind damage was reported, however, moderate flooding was reported in coastal rivers and creeks. A tornado occurred at Yukan about 13 km south of Sarina on 24 February.",FNQ,cyclone,1997,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone GILLIAN,1997-02-10,1997-02-12,QLD,"A tropical depression located within the monsoon trough in the Coral Sea formed rapidly into cyclone Gillian on 10 February. Its movement was towards the southsouthwest under the influence of a marked upper-level trough lying to the south of the system and a north/south oriented mid-level ridge to the east. As it approached the Tropical Upper Tropospheric Trough (TUTT) cell over northeast Australia, shear increased and weakened the system. By 12 February Gillian had weakened to become a tropical depression. The remnants of the cyclone continued to move in a southwesterly direction and crossed the coast in the vicinity of Townsville with little discernible effect.",FNQ,cyclone,1997,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone PANCHO,1997-01-18,1997-02-04,QLD,Tropical cyclone Pancho/Helinda was a long-lived cyclone with a highly convoluted track. The cyclone was named on 20 January when it was north-northwest of the Cocos Islands. It did not cross the QLD coast,FNQ,cyclone,1997,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone FERGUS,1996-12-23,1996-12-28,QLD,"Coral Sea, Category 2, No significant Australian landfall",FNQ,cyclone,1996,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
CAT963,SEQ and Northern Rivers Flooding,1996-05-01,1996-05-12,QLD NSW,"In the first week of May widespread flooding and heavy rainfall was reported in south-east Queensland and northern New South Wales. An East Coast Low commenced at the end of April and caused heavy seas, strong winds and heavy rainfall. A tidal surge created by the low pressure system caused above average tidal conditions and storm force winds of up to 65 knots were recorded at Moreton Island. Water catchment areas recorded up to 1000 mm, with the worst affected areas Brisbane and the Darling Downs region. Furthermore the extreme weather conditions also affected the Lockyer creek, Bremer and Logan rivers. Both Queensland and New South Wales reported extensive damage to farming areas, including vegetable and cotton crops. There were five deaths recorded.",SEQ,flooding,1996,31000000.0,251200000.0,30674.0,1,0,1,0,0,0,0,0
Undeclared,Cyclone ETHEL,1996-03-09,1996-03-13,QLD,"Category 2 storm impacting FNQ regions. Severe flooding triggered by Cyclone Ethel caused significant damage in FNQ. This event was not declared as a catastrophe for insurance purposes. This insured loss estimate is based on market submissions to ICA from greater than 50% of market, modeled to estimate the industry loss estimate.",FNQ,cyclone,1996,57000000.0,395700000.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone DENNIS,1996-02-15,1996-02-18,QLD,"FNQ, Cape York, Category 1 event, no significant damage reported. This event was not declared as a catastrophe for insurance purposes. This insured loss estimate is based on market submissions to ICA from greater than 50% of market, modeled to estimate the industry loss estimate.",FNQ,cyclone,1996,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone JACOB,1996-01-27,1996-02-08,QLD NT WA,"TC Jacob formed on 1 February 1996 from a monsoonal low that moved across the Northern Territory and the Kimberley region of Western Australia before tracking over the Bonaparte Gulf. It closely followed the Western Australian coast and developed cyclone characteristics near Adele Island. Jacob continued to intensify and moved westsouthwestwards, roughly parallel to the Pilbara coast. At peak intensity Jacob was a Category 3 storm with wind gusts near the centre estimated to be 200 kilometres per hour. The Kimberley and Pilbara coastal areas received heavy rains as the cyclone passed offshore. Only minor damage occurred and there were no deaths.",FNQ,cyclone,1996,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,1,1
Undeclared,Cyclone CELESTE,1996-01-26,1996-01-29,QLD,Tropical Cyclone Celeste formed on 26 January and rapidly intensified into a Category 3 (Australian scale) system. The cyclone moved away from the coast after dumping heavy rain on the Central Coast. One man drowned in floodwaters near Bowen,FNQ,cyclone,1996,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,0,0
Undeclared,Cyclone BARRY,1996-01-04,1996-01-05,QLD / NT,"Barry formed in the Gulf of Carpentaria on 4 January, reaching a maximum intensity of Category 5 (Australian scale) before crossing the coast between Karumba and Kowanyama two days later. Heavy rains caused severe flooding across the southern Cape York Peninsula",FNQ,cyclone,1996,55450000.0,58222500.0,30674.0,0,0,1,0,0,0,1,0
